"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 14:44:54 ALMT 2022","Fri Oct 14 14:45:06 ALMT 2022","12536","Smoke","MessageTest","com.epam.tests.MessageTest","com.epam.tests.MessageTest","sentLetterValidation","sentLetterValidation","Logging into mail.ru and sending letter to protonmail user"
"passed","Fri Oct 14 14:45:08 ALMT 2022","Fri Oct 14 14:45:28 ALMT 2022","20081","Smoke","MessageTest","com.epam.tests.MessageTest","com.epam.tests.MessageTest","letterValidation","letterValidation","Logging into protonmail.com and checking whether letter is arrived, unread and has correct sender and content"
